ke	1497746
ro	1348950
be	1314499
man	1263732
o	1048663
az	980699
to	968244
in	881163
ye	847445
on	723549
mi	591888
na	543759
ba	470717
dar	449699
ma	399303
chi	374366
kheili	352472
sh	347223
bayad	340002
ham	322258
bod	307036
bashe	304463
bray	302181
are	299623
konam	291138
kon	278010
ta	273810
inja	262470
fekr	250707
dige	248256
t	241466
nyst	240509
khob	229735
shma	221676
faghat	214800
kar	210174
ha	208927
dare	202018
age	191633
hame	188444
chyzy	186852
daram	185885
shdh	181090
vly	179574
koni	177352
che	173117
tvy	172333
yk	167188
dari	160491
ama	153176
pas	152072
mishe	151355
nmy	151304
chera	145676
m	142606
mikonam	138754
hala	136895
krdm	135580
kone	133947
dorost	132185
vghty	131490
alan	128955
avna	125951
ay	124970
konim	124780
har	123799
y	123369
khvd	122608
avh	120912
ya	120098
shod	119664
blh	115728
hy	115197
dost	113690
hay	113331
mnv	112155
bia	111310
dst	110160
aynkh	110042
salam	109041
koja	108314
chyh	106540
hst	105673
boro	105531
bd	103611
bhm	102922
msl	102383
khube	102349
hmyn	99569
bede	99323
ki	99273
pyda	98154
hych	98065
mikoni	97240
yky	96582
krd	93987
hrf	93900
h	93740
krdy	92436
byrvn	89395
mikone	89199
ksy	89134
bchh	88774
vagha	88667
krdn	88167
berim	87909
mikham	87649
krdh	84644
st	83356
mamnon	82735
midoni	80764
onja	80167
darim	79807
kary	78450
vash	78233
ra	78127
pysh	77875
khune	76301
shayad	76004
bvdm	75742
sr	75094
chyz	74402
bash	74125
hstm	73906
chon	73765
rvy	73162
chykar	72990
konid	72977
miad	71539
anjam	71534
dv	71215
ndarh	71213
pdr	69092
kmk	68638
vaght	68544
mnm	68283
mikhai	68037
dashth	67745
hsty	67693
mvrd	66912
zndgy	66429
hanoz	66273
aynh	65685
beshe	65675
lnty	65336
midonam	65263
roz	64597
ast	64494
tmam	64297
aynv	63639
mrd	63560
nzr	62912
rah	61807
hmyshh	61150
bebin	60894
byshtr	57638
chy	57588
sbr	56976
tnha	56428
asm	56199
mtasfm	56061
bashy	55895
sal	55722
aghay	55154
chand	54663
psr	54512
gvsh	54512
ngah	54304
bego	54253
khvdm	53867
nemidonam	53500
ghrban	53452
dvbarh	52765
khday	52581
chetor	51633
bvdh	51578
bbkhshyd	51472
bdm	51363
khvby	50655
avnv	50255
by	50083
khda	49940
hty	49609
goftam	49387
bdy	48752
bgm	48461
khvahsh	48353
brm	48250
br	48103
zyzm	48060
daran	47421
hstn	47421
shrv	47252
shbt	47245
albth	46913
tmvm	46573
bazy	46031
ghbl	45729
goft	44840
adm	44773
mitonam	44592
nfr	44571
shv	44514
madr	44365
mygm	44074
pvl	43874
knyn	43853
bar	43609
dnbal	43604
khanm	43462
khvsh	43223
mitoni	43190
ghrar	43082
hal	43020
shodam	42989
shab	42759
nakon	42561
mydm	42304
mmknh	42197
baba	41962
dashtm	41838
ltfa	41744
shdn	41181
knn	40970
vjvd	40860
bashm	40629
asla	40617
mrdm	40500
baz	40389
yny	40206
emroz	40110
khatr	40077
hmvn	40074
dkhtr	40061
agr	39848
dasht	39495
bvdy	39490
bbynm	39395
yala	39320
dvnm	39314
bdvn	39126
mgh	39124
hychy	38991
bozorg	38930
nystm	38930
astfadh	38916
bala	38787
bvdn	38085
kenar	38071
sat	37899
nemitonam	37854
cheghadr	37780
brat	37344
halt	37344
bezar	37258
krdym	36984
ndarm	36896
avl	36849
bry	36842
sy	36250
zvd	36229
km	36207
avnha	36161
amadh	35714
maman	35705
am	35616
drbarh	35554
nbvd	35511
bkhatr	35332
mtmn	35170
bahash	34960
atfaghy	34874
zndh	34804
azt	34484
myknym	33956
mashin	33936
jayy	33789
byn	33775
mide	33653
nemishe	33574
bezan	33507
nyaz	33359
shodi	33156
zn	33074
dvr	32924
arvm	32713
hychvght	32638
bhtr	32490
alyh	32338
dad	32280
chtvry	32195
khvam	32072
yad	31888
zng	31883
dnya	31861
mnh	31639
gofti	31610
zmyn	31428
tvnm	31424
trf	31393
htma	31376
ja	31287
zyady	30683
myknn	30499
jay	30450
mygy	30450
shhr	30395
av	30297
mshkly	30282
khbr	30034
payyn	30033
nbayd	30019
bram	29966
zman	29651
dadh	29538
ayna	29501
dktr	29410
mikhad	29320
frar	29192
zyad	29026
dghyghh	29021
mrdh	28899
mnzvr	28865
mitone	28807
ah	28742
mal	28677
bas	28426
plys	28401
mohem	28162
ajazh	28110
mykrdm	28084
ngh	28068
miram	27996
atfagh	27897
bad	27887
ngran	27840
psht	27762
nshvn	27629
lahze	27487
rfygh	27227
dl	27201
sobh	27193
smt	27188
karv	27009
aynkarv	26957
njat	26873
kamla	26833
bgy	26654
bhtrh	26553
begir	26503
mygh	26383
dghygha	26348
adamh	26342
bavr	26296
bsyar	26289
avlyn	26060
didam	26051
jvab	25894
hstym	25853
ab	25849
hrkt	25588
mmnvnm	25552
dakhl	25454
dadm	25357
byad	25294
hmchyn	25089
lazm	24964
hmyntvr	24950
ghrarh	24909
khvn	24881
vay	24803
tvny	24734
rfth	24656
nysty	24554
mshkl	24295
bhtryn	24129
bznm	24091
arh	24090
ahsas	23937
ashtbah	23738
vard	23504
brh	23468
ghbla	23468
atagh	23398
tr	23325
bghyh	23301
jng	23295
ghvl	23270
antkhab	23220
shlyk	23219
bdym	23077
dvny	22989
bknm	22781
emshab	22761
hgh	22712
